# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________      "3.1.0" 
Date_of_run______________________________________________________________ (date)_________________________ "13/01/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "08:58" 
User_____________________________________________________________________ (username)_____________________     "jedwal" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________      "squid" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________ "v3.2.1-81-gef0c5066" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________      "merge" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/IPP-HGW/jedwal/PROCESS/stellarator_analysis/design_space_R_B/HTS_hfact/results/B_6.50/squid.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________            7 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           14 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
Objective_function_name__________________________________________________ (objf_name)____________________ "major radius          " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ 3.36046929308762143e+00 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 1.62981392307508765e-12 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 7.47625155747544512e-12 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________            6 OP 
rmajor___________________________________________________________________ (itvar001)_____________________ 1.68023464654381058e+01 
rmajor_(final_value/initial_value)_______________________________________ (xcm001)_______________________ 8.40117323271905359e-01 
rmajor_(range_normalised)________________________________________________ (nitvar001)____________________ 3.40117323271905359e-01 
rmajor_(upper_bound)_____________________________________________________ (boundu001)____________________ 3.00000000000000000e+01 
rmajor_(lower_bound)_____________________________________________________ (boundl001)____________________ 1.00000000000000000e+01 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar002)_____________________ 7.32707623892178184e+00 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm002)_______________________ 1.04672517698882594e+00 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar002)____________________ 3.60589686576815116e-01 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu002)____________________ 1.50000000000000000e+01 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl002)____________________ 3.00000000000000000e+00 
nd_plasma_electrons_vol_avg______________________________________________ (itvar003)_____________________ 2.41522804003887710e+20 
nd_plasma_electrons_vol_avg_(final_value/initial_value)__________________ (xcm003)_______________________ 1.20761402001943852e+00 
nd_plasma_electrons_vol_avg_(range_normalised)___________________________ (nitvar003)____________________ 7.83417792606991514e-01 
nd_plasma_electrons_vol_avg_(upper_bound)________________________________ (boundu003)____________________ 3.00000000000000000e+20 
nd_plasma_electrons_vol_avg_(lower_bound)________________________________ (boundl003)____________________ 3.00000000000000000e+19 
hfact____________________________________________________________________ (itvar004)_____________________ 1.09043840984066098e+00 
hfact_(final_value/initial_value)________________________________________ (xcm004)_______________________ 1.09043840984066098e+00 
hfact_(range_normalised)_________________________________________________ (nitvar004)____________________ 8.25365341533884189e-01 
hfact_(upper_bound)______________________________________________________ (boundu004)____________________ 1.30000000000000004e+00 
hfact_(lower_bound)______________________________________________________ (boundl004)____________________ 1.00000000000000006e-01 
t_tf_superconductor_quench_______________________________________________ (itvar005)_____________________ 1.00030485345948534e+01 
t_tf_superconductor_quench_(final_value/initial_value)___________________ (xcm005)_______________________ 1.00030485345948539e+00 
t_tf_superconductor_quench_(range_normalised)____________________________ (nitvar005)____________________ 9.09398841878268083e-02 
t_tf_superconductor_quench_(upper_bound)_________________________________ (boundu005)____________________ 1.00000000000000000e+02 
t_tf_superconductor_quench_(lower_bound)_________________________________ (boundl005)____________________ 1.00000000000000000e+00 
f_a_tf_turn_cable_copper_________________________________________________ (itvar006)_____________________ 7.57650558164865262e-01 
f_a_tf_turn_cable_copper_(final_value/initial_value)_____________________ (xcm006)_______________________ 1.08235794023552190e+00 
f_a_tf_turn_cable_copper_(range_normalised)______________________________ (nitvar006)____________________ 7.62750930274775474e-01 
f_a_tf_turn_cable_copper_(upper_bound)___________________________________ (boundu006)____________________ 9.00000000000000022e-01 
f_a_tf_turn_cable_copper_(lower_bound)___________________________________ (boundl006)____________________ 2.99999999999999989e-01 
