# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________      "3.1.0" 
Date_of_run______________________________________________________________ (date)_________________________ "13/01/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "08:58" 
User_____________________________________________________________________ (username)_____________________     "jedwal" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________      "squid" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________ "v3.2.1-81-gef0c5066" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________      "merge" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/IPP-HGW/jedwal/PROCESS/stellarator_analysis/design_space_R_B/HTS_hfact/results/B_9.00/squid.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________            7 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           14 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
Objective_function_name__________________________________________________ (objf_name)____________________ "major radius          " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ 3.65700976457368876e+00 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 1.61850585051632849e-12 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 1.74123843677008507e-12 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________            7 OP 
rmajor___________________________________________________________________ (itvar001)_____________________ 1.82850488228684469e+01 
rmajor_(final_value/initial_value)_______________________________________ (xcm001)_______________________ 9.14252441143422301e-01 
rmajor_(range_normalised)________________________________________________ (nitvar001)____________________ 4.14252441143422301e-01 
rmajor_(upper_bound)_____________________________________________________ (boundu001)____________________ 3.00000000000000000e+01 
rmajor_(lower_bound)_____________________________________________________ (boundl001)____________________ 1.00000000000000000e+01 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar002)_____________________ 7.78744366496922602e+00 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm002)_______________________ 1.11249195213846086e+00 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar002)____________________ 3.98953638747435502e-01 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu002)____________________ 1.50000000000000000e+01 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl002)____________________ 3.00000000000000000e+00 
nd_plasma_electrons_vol_avg______________________________________________ (itvar003)_____________________ 2.17212809116135391e+20 
nd_plasma_electrons_vol_avg_(final_value/initial_value)__________________ (xcm003)_______________________ 1.08606404558067693e+00 
nd_plasma_electrons_vol_avg_(range_normalised)___________________________ (nitvar003)____________________ 6.93380774504205100e-01 
nd_plasma_electrons_vol_avg_(upper_bound)________________________________ (boundu003)____________________ 3.00000000000000000e+20 
nd_plasma_electrons_vol_avg_(lower_bound)________________________________ (boundl003)____________________ 3.00000000000000000e+19 
hfact____________________________________________________________________ (itvar004)_____________________ 8.66619528283937735e-01 
hfact_(final_value/initial_value)________________________________________ (xcm004)_______________________ 8.66619528283937735e-01 
hfact_(range_normalised)_________________________________________________ (nitvar004)____________________ 6.38849606903281519e-01 
hfact_(upper_bound)______________________________________________________ (boundu004)____________________ 1.30000000000000004e+00 
hfact_(lower_bound)______________________________________________________ (boundl004)____________________ 1.00000000000000006e-01 
t_tf_superconductor_quench_______________________________________________ (itvar005)_____________________ 2.36111646990353030e+01 
t_tf_superconductor_quench_(final_value/initial_value)___________________ (xcm005)_______________________ 2.36111646990353030e+00 
t_tf_superconductor_quench_(range_normalised)____________________________ (nitvar005)____________________ 2.28395603020558613e-01 
t_tf_superconductor_quench_(upper_bound)_________________________________ (boundu005)____________________ 1.00000000000000000e+02 
t_tf_superconductor_quench_(lower_bound)_________________________________ (boundl005)____________________ 1.00000000000000000e+00 
f_a_tf_turn_cable_copper_________________________________________________ (itvar006)_____________________ 8.51801633791572699e-01 
f_a_tf_turn_cable_copper_(final_value/initial_value)_____________________ (xcm006)_______________________ 1.21685947684510398e+00 
f_a_tf_turn_cable_copper_(range_normalised)______________________________ (nitvar006)____________________ 9.19669389652621239e-01 
f_a_tf_turn_cable_copper_(upper_bound)___________________________________ (boundu006)____________________ 9.00000000000000022e-01 
f_a_tf_turn_cable_copper_(lower_bound)___________________________________ (boundl006)____________________ 2.99999999999999989e-01 
